5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
3/1/2016 23:30,164,1,100
3/1/2016 23:45,120,1,100
4/1/2016 0:0,112,1,100
4/1/2016 0:15,80,1,100
4/1/2016 0:30,72,1,100
4/1/2016 0:45,120,1,100
4/1/2016 1:0,96,1,100
4/1/2016 1:15,92,1,100
4/1/2016 1:30,24,1,100
4/1/2016 1:45,44,1,100
4/1/2016 2:0,16,1,100
4/1/2016 2:15,44,1,100
4/1/2016 2:30,24,1,100
4/1/2016 2:45,20,1,100
4/1/2016 3:0,20,1,100
4/1/2016 3:15,36,1,100
4/1/2016 3:30,36,1,100
4/1/2016 3:45,16,1,100
4/1/2016 4:0,4,1,100
4/1/2016 4:15,4,1,100
4/1/2016 4:30,8,1,100
4/1/2016 4:45,20,1,100
4/1/2016 5:0,20,1,100
4/1/2016 5:15,48,1,100
4/1/2016 5:30,68,1,100
4/1/2016 5:45,100,1,100
4/1/2016 6:0,76,1,100
4/1/2016 6:15,76,1,100
4/1/2016 6:30,124,1,100
4/1/2016 6:45,152,1,100
4/1/2016 7:0,260,1,100
4/1/2016 7:15,212,1,100
4/1/2016 7:30,320,1,100
4/1/2016 7:45,352,1,100
4/1/2016 8:0,296,1,100
4/1/2016 8:15,432,1,100
4/1/2016 8:30,364,1,100
4/1/2016 8:45,480,1,100
4/1/2016 9:0,336,1,100
4/1/2016 9:15,556,1,100
4/1/2016 9:30,516,1,100
4/1/2016 9:45,456,1,100
4/1/2016 10:0,348,1,100
4/1/2016 10:15,564,1,100
4/1/2016 10:30,416,1,100
4/1/2016 10:45,512,1,100
4/1/2016 11:0,448,1,100
4/1/2016 11:15,552,1,100
4/1/2016 11:30,300,1,100
4/1/2016 11:45,396,1,100
4/1/2016 12:0,336,1,100
4/1/2016 12:15,232,1,100
4/1/2016 12:30,380,1,100
4/1/2016 12:45,444,1,100
4/1/2016 13:0,484,1,100
4/1/2016 13:15,304,1,100
4/1/2016 13:30,448,1,100
4/1/2016 13:45,368,1,100
4/1/2016 14:0,540,1,100
4/1/2016 14:15,536,1,100
4/1/2016 14:30,336,1,100
4/1/2016 14:45,368,1,100
4/1/2016 15:0,312,1,100
4/1/2016 15:15,608,1,100
4/1/2016 15:30,412,1,100
4/1/2016 15:45,592,1,100
4/1/2016 16:0,612,1,100
4/1/2016 16:15,400,1,100
4/1/2016 16:30,384,1,100
4/1/2016 16:45,420,1,100
4/1/2016 17:0,500,1,100
4/1/2016 17:15,548,1,100
4/1/2016 17:30,572,1,100
4/1/2016 17:45,360,1,100
4/1/2016 18:0,476,1,100
4/1/2016 18:15,464,1,100
4/1/2016 18:30,640,1,100
4/1/2016 18:45,344,1,100
4/1/2016 19:0,444,1,100
4/1/2016 19:15,640,1,100
4/1/2016 19:30,456,1,100
4/1/2016 19:45,640,1,100
4/1/2016 20:0,504,1,100
4/1/2016 20:15,556,1,100
4/1/2016 20:30,520,1,100
4/1/2016 20:45,520,1,100
4/1/2016 21:0,552,1,100
4/1/2016 21:15,488,1,100
4/1/2016 21:30,472,1,100
4/1/2016 21:45,496,1,100
4/1/2016 22:0,480,1,100
4/1/2016 22:15,468,1,100
4/1/2016 22:30,480,1,100
4/1/2016 22:45,356,1,100
4/1/2016 23:0,288,1,100
4/1/2016 23:15,176,1,100
4/1/2016 23:30,180,1,100
4/1/2016 23:45,116,1,100
5/1/2016 0:0,132,1,100
5/1/2016 0:15,100,1,100
5/1/2016 0:30,96,1,100
5/1/2016 0:45,100,1,100
5/1/2016 1:0,92,1,100
5/1/2016 1:15,68,1,100
5/1/2016 1:30,88,1,100
5/1/2016 1:45,40,1,100
5/1/2016 2:0,32,1,100
5/1/2016 2:15,24,1,100
5/1/2016 2:30,24,1,100
5/1/2016 2:45,4,1,100
5/1/2016 3:0,4,1,100
5/1/2016 3:15,16,1,100
5/1/2016 3:30,8,1,100
5/1/2016 3:45,16,1,100
5/1/2016 4:0,28,1,100
5/1/2016 4:15,8,1,100
5/1/2016 4:30,24,1,100
5/1/2016 4:45,36,1,100
5/1/2016 5:0,36,1,100
5/1/2016 5:15,32,1,100
5/1/2016 5:30,72,1,100
5/1/2016 5:45,108,1,100
5/1/2016 6:0,96,1,100
5/1/2016 6:15,108,1,100
5/1/2016 6:30,128,1,100
5/1/2016 6:45,184,1,100
5/1/2016 7:0,224,1,100
5/1/2016 7:15,204,1,100
5/1/2016 7:30,372,1,100
5/1/2016 7:45,404,1,100
5/1/2016 8:0,368,1,100
5/1/2016 8:15,324,1,100
5/1/2016 8:30,440,1,100
5/1/2016 8:45,496,1,100
5/1/2016 9:0,508,1,100
5/1/2016 9:15,424,1,100
5/1/2016 9:30,456,1,100
5/1/2016 9:45,472,1,100
5/1/2016 10:0,304,1,100
5/1/2016 10:15,484,1,100
5/1/2016 10:30,548,1,100
5/1/2016 10:45,404,1,100
5/1/2016 11:0,664,1,100
5/1/2016 11:15,472,1,100
5/1/2016 11:30,336,1,100
5/1/2016 11:45,536,1,100
5/1/2016 12:0,396,1,100
5/1/2016 12:15,468,1,100
5/1/2016 12:30,528,1,100
5/1/2016 12:45,492,1,100
5/1/2016 13:0,492,1,100
5/1/2016 13:15,468,1,100
5/1/2016 13:30,508,1,100
5/1/2016 13:45,344,1,100
5/1/2016 14:0,452,1,100
5/1/2016 14:15,612,1,100
5/1/2016 14:30,568,1,100
5/1/2016 14:45,436,1,100
5/1/2016 15:0,444,1,100
5/1/2016 15:15,432,1,100
5/1/2016 15:30,452,1,100
5/1/2016 15:45,516,1,100
5/1/2016 16:0,432,1,100
5/1/2016 16:15,536,1,100
5/1/2016 16:30,512,1,100
5/1/2016 16:45,484,1,100
5/1/2016 17:0,520,1,100
5/1/2016 17:15,576,1,100
5/1/2016 17:30,580,1,100
5/1/2016 17:45,548,1,100
5/1/2016 18:0,480,1,100
5/1/2016 18:15,632,1,100
5/1/2016 18:30,540,1,100
5/1/2016 18:45,608,1,100
5/1/2016 19:0,504,1,100
5/1/2016 19:15,444,1,100
5/1/2016 19:30,460,1,100
5/1/2016 19:45,440,1,100
5/1/2016 20:0,372,1,100
5/1/2016 20:15,372,1,100
5/1/2016 20:30,376,1,100
5/1/2016 20:45,352,1,100
5/1/2016 21:0,396,1,100
5/1/2016 21:15,436,1,100
5/1/2016 21:30,424,1,100
5/1/2016 21:45,324,1,100
5/1/2016 22:0,396,1,100
5/1/2016 22:15,368,1,100
5/1/2016 22:30,388,1,100
5/1/2016 22:45,252,1,100
5/1/2016 23:0,312,1,100
5/1/2016 23:15,256,1,100
5/1/2016 23:30,240,1,100
5/1/2016 23:45,136,1,100
6/1/2016 0:0,164,1,100
6/1/2016 0:15,108,1,100
6/1/2016 0:30,136,1,100
6/1/2016 0:45,144,1,100
6/1/2016 1:0,92,1,100
6/1/2016 1:15,104,1,100
6/1/2016 1:30,64,1,100
6/1/2016 1:45,104,1,100
6/1/2016 2:0,52,1,100
6/1/2016 2:15,28,1,100
6/1/2016 2:30,48,1,100
6/1/2016 2:45,60,1,100
6/1/2016 3:0,48,1,100
6/1/2016 3:15,56,1,100
6/1/2016 3:30,32,1,100
6/1/2016 3:45,12,1,100
6/1/2016 4:0,36,1,100
6/1/2016 4:15,44,1,100
6/1/2016 4:30,28,1,100
6/1/2016 4:45,40,1,100
6/1/2016 5:0,32,1,100
6/1/2016 5:15,8,1,100
6/1/2016 5:30,24,1,100
6/1/2016 5:45,80,1,100
6/1/2016 6:0,76,1,100
6/1/2016 6:15,48,1,100
6/1/2016 6:30,36,1,100
6/1/2016 6:45,24,1,100
6/1/2016 7:0,88,1,100
6/1/2016 7:15,24,1,100
6/1/2016 7:30,120,1,100
6/1/2016 7:45,124,1,100
6/1/2016 8:0,104,1,100
6/1/2016 8:15,80,1,100
6/1/2016 8:30,104,1,100
6/1/2016 8:45,68,1,100
6/1/2016 9:0,96,1,100
6/1/2016 9:15,100,1,100
6/1/2016 9:30,120,1,100
6/1/2016 9:45,140,1,100
6/1/2016 10:0,196,1,100
6/1/2016 10:15,188,1,100
6/1/2016 10:30,268,1,100
6/1/2016 10:45,252,1,100
6/1/2016 11:0,288,1,100
6/1/2016 11:15,272,1,100
6/1/2016 11:30,396,1,100
6/1/2016 11:45,356,1,100
6/1/2016 12:0,380,1,100
6/1/2016 12:15,420,1,100
6/1/2016 12:30,512,1,100
6/1/2016 12:45,636,1,100
6/1/2016 13:0,504,1,100
6/1/2016 13:15,536,1,100
6/1/2016 13:30,616,1,100
6/1/2016 13:45,548,1,100
6/1/2016 14:0,476,1,100
6/1/2016 14:15,536,1,100
6/1/2016 14:30,380,1,100
6/1/2016 14:45,388,1,100
6/1/2016 15:0,248,1,100
6/1/2016 15:15,272,1,100
6/1/2016 15:30,216,1,100
6/1/2016 15:45,148,1,100
6/1/2016 16:0,108,1,100
6/1/2016 16:15,216,1,100
6/1/2016 16:30,224,1,100
6/1/2016 16:45,252,1,100
6/1/2016 17:0,348,1,100
6/1/2016 17:15,264,1,100
6/1/2016 17:30,352,1,100
6/1/2016 17:45,320,1,100
6/1/2016 18:0,328,1,100
6/1/2016 18:15,460,1,100
6/1/2016 18:30,460,1,100
6/1/2016 18:45,432,1,100
6/1/2016 19:0,424,1,100
6/1/2016 19:15,392,1,100
6/1/2016 19:30,440,1,100
6/1/2016 19:45,408,1,100
6/1/2016 20:0,344,1,100
6/1/2016 20:15,396,1,100
6/1/2016 20:30,512,1,100
6/1/2016 20:45,356,1,100
6/1/2016 21:0,236,1,100
6/1/2016 21:15,296,1,100
6/1/2016 21:30,300,1,100
6/1/2016 21:45,316,1,100
6/1/2016 22:0,312,1,100
6/1/2016 22:15,324,1,100
6/1/2016 22:30,312,1,100
6/1/2016 22:45,224,1,100
6/1/2016 23:0,200,1,100
6/1/2016 23:15,148,1,100
6/1/2016 23:30,160,1,100
6/1/2016 23:45,112,1,100
7/1/2016 0:0,104,1,100
7/1/2016 0:15,72,1,100
7/1/2016 0:30,76,1,100
7/1/2016 0:45,120,1,100
7/1/2016 1:0,68,1,100
7/1/2016 1:15,52,1,100
7/1/2016 1:30,40,1,100
7/1/2016 1:45,32,1,100
7/1/2016 2:0,60,1,100
7/1/2016 2:15,48,1,100
7/1/2016 2:30,12,1,100
7/1/2016 2:45,16,1,100
7/1/2016 3:0,84,1,100
7/1/2016 3:15,24,1,100
7/1/2016 3:30,24,1,100
7/1/2016 3:45,24,1,100
7/1/2016 4:0,16,1,100
7/1/2016 4:15,8,1,100
7/1/2016 4:30,24,1,100
7/1/2016 4:45,24,1,100
7/1/2016 5:0,44,1,100
7/1/2016 5:15,52,1,100
7/1/2016 5:30,80,1,100
7/1/2016 5:45,128,1,100
7/1/2016 6:0,80,1,100
7/1/2016 6:15,112,1,100
7/1/2016 6:30,112,1,100
7/1/2016 6:45,148,1,100
7/1/2016 7:0,196,1,100
7/1/2016 7:15,224,1,100
7/1/2016 7:30,332,1,100
7/1/2016 7:45,488,1,100
7/1/2016 8:0,388,1,100
7/1/2016 8:15,312,1,100
7/1/2016 8:30,388,1,100
7/1/2016 8:45,464,1,100
7/1/2016 9:0,444,1,100
7/1/2016 9:15,572,1,100
7/1/2016 9:30,396,1,100
7/1/2016 9:45,416,1,100
7/1/2016 10:0,416,1,100
7/1/2016 10:15,416,1,100
7/1/2016 10:30,476,1,100
7/1/2016 10:45,360,1,100
7/1/2016 11:0,412,1,100
7/1/2016 11:15,528,1,100
7/1/2016 11:30,292,1,100
7/1/2016 11:45,500,1,100
7/1/2016 12:0,596,1,100
7/1/2016 12:15,488,1,100
7/1/2016 12:30,368,1,100
7/1/2016 12:45,460,1,100
7/1/2016 13:0,344,1,100
7/1/2016 13:15,472,1,100
7/1/2016 13:30,520,1,100
7/1/2016 13:45,548,1,100
7/1/2016 14:0,568,1,100
7/1/2016 14:15,520,1,100
7/1/2016 14:30,436,1,100
7/1/2016 14:45,440,1,100
7/1/2016 15:0,432,1,100
7/1/2016 15:15,332,1,100
7/1/2016 15:30,468,1,100
7/1/2016 15:45,264,1,100
7/1/2016 16:0,408,1,100
7/1/2016 16:15,556,1,100
7/1/2016 16:30,276,1,100
7/1/2016 16:45,496,1,100
7/1/2016 17:0,356,1,100
7/1/2016 17:15,608,1,100
7/1/2016 17:30,528,1,100
7/1/2016 17:45,424,1,100
7/1/2016 18:0,336,1,100
7/1/2016 18:15,392,1,100
7/1/2016 18:30,364,1,100
7/1/2016 18:45,424,1,100
7/1/2016 19:0,644,1,100
7/1/2016 19:15,584,1,100
7/1/2016 19:30,252,1,100
7/1/2016 19:45,428,1,100
7/1/2016 20:0,404,1,100
7/1/2016 20:15,472,1,100
7/1/2016 20:30,528,1,100
7/1/2016 20:45,520,1,100
7/1/2016 21:0,436,1,100
7/1/2016 21:15,416,1,100
7/1/2016 21:30,392,1,100
7/1/2016 21:45,488,1,100
7/1/2016 22:0,356,1,100
7/1/2016 22:15,516,1,100
7/1/2016 22:30,464,1,100
7/1/2016 22:45,260,1,100
7/1/2016 23:0,256,1,100
7/1/2016 23:15,164,1,100
7/1/2016 23:30,120,1,100
7/1/2016 23:45,108,1,100
8/1/2016 0:0,72,1,100
8/1/2016 0:15,40,1,100
8/1/2016 0:30,48,1,100
8/1/2016 0:45,100,1,100
8/1/2016 1:0,60,1,100
8/1/2016 1:15,52,1,100
8/1/2016 1:30,40,1,100
8/1/2016 1:45,40,1,100
8/1/2016 2:0,40,1,100
8/1/2016 2:15,8,1,100
8/1/2016 2:30,36,1,100
8/1/2016 2:45,52,1,100
8/1/2016 3:0,20,1,100
8/1/2016 3:15,16,1,100
8/1/2016 3:30,20,1,100
8/1/2016 3:45,24,1,100
8/1/2016 4:0,28,1,100
8/1/2016 4:15,24,1,100
8/1/2016 4:30,16,1,100
8/1/2016 4:45,32,1,100
8/1/2016 5:0,32,1,100
8/1/2016 5:15,40,1,100
8/1/2016 5:30,100,1,100
8/1/2016 5:45,104,1,100
8/1/2016 6:0,76,1,100
8/1/2016 6:15,144,1,100
8/1/2016 6:30,104,1,100
8/1/2016 6:45,152,1,100
8/1/2016 7:0,256,1,100
8/1/2016 7:15,224,1,100
8/1/2016 7:30,356,1,100
8/1/2016 7:45,424,1,100
8/1/2016 8:0,252,1,100
8/1/2016 8:15,444,1,100
8/1/2016 8:30,408,1,100
8/1/2016 8:45,484,1,100
8/1/2016 9:0,520,1,100
8/1/2016 9:15,412,1,100
8/1/2016 9:30,388,1,100
8/1/2016 9:45,480,1,100
8/1/2016 10:0,496,1,100
8/1/2016 10:15,488,1,100
8/1/2016 10:30,408,1,100
8/1/2016 10:45,388,1,100
8/1/2016 11:0,404,1,100
8/1/2016 11:15,444,1,100
8/1/2016 11:30,432,1,100
8/1/2016 11:45,408,1,100
8/1/2016 12:0,412,1,100
8/1/2016 12:15,480,1,100
8/1/2016 12:30,520,1,100
8/1/2016 12:45,392,1,100
8/1/2016 13:0,400,1,100
8/1/2016 13:15,528,1,100
8/1/2016 13:30,348,1,100
8/1/2016 13:45,500,1,100
8/1/2016 14:0,528,1,100
8/1/2016 14:15,480,1,100
8/1/2016 14:30,404,1,100
8/1/2016 14:45,508,1,100
8/1/2016 15:0,460,1,100
8/1/2016 15:15,412,1,100
8/1/2016 15:30,404,1,100
8/1/2016 15:45,428,1,100
8/1/2016 16:0,472,1,100
8/1/2016 16:15,456,1,100
8/1/2016 16:30,448,1,100
8/1/2016 16:45,500,1,100
8/1/2016 17:0,436,1,100
8/1/2016 17:15,380,1,100
8/1/2016 17:30,332,1,100
8/1/2016 17:45,504,1,100
8/1/2016 18:0,476,1,100
8/1/2016 18:15,520,1,100
8/1/2016 18:30,280,1,100
8/1/2016 18:45,452,1,100
8/1/2016 19:0,444,1,100
8/1/2016 19:15,420,1,100
8/1/2016 19:30,448,1,100
8/1/2016 19:45,476,1,100
8/1/2016 20:0,396,1,100
8/1/2016 20:15,464,1,100
8/1/2016 20:30,448,1,100
8/1/2016 20:45,468,1,100
8/1/2016 21:0,432,1,100
8/1/2016 21:15,436,1,100
8/1/2016 21:30,416,1,100
8/1/2016 21:45,576,1,100
8/1/2016 22:0,544,1,100
8/1/2016 22:15,504,1,100
8/1/2016 22:30,440,1,100
8/1/2016 22:45,280,1,100
8/1/2016 23:0,228,1,100
8/1/2016 23:15,288,1,100
8/1/2016 23:30,232,1,100
8/1/2016 23:45,172,1,100
9/1/2016 0:0,172,1,100
9/1/2016 0:15,236,1,100
9/1/2016 0:30,144,1,100
9/1/2016 0:45,148,1,100
9/1/2016 1:0,160,1,100
9/1/2016 1:15,164,1,100
9/1/2016 1:30,88,1,100
9/1/2016 1:45,232,1,100
9/1/2016 2:0,96,1,100
9/1/2016 2:15,88,1,100
9/1/2016 2:30,48,1,100
9/1/2016 2:45,32,1,100
9/1/2016 3:0,36,1,100
9/1/2016 3:15,68,1,100
9/1/2016 3:30,40,1,100
9/1/2016 3:45,24,1,100
9/1/2016 4:0,4,1,100
9/1/2016 4:15,28,1,100
9/1/2016 4:30,44,1,100
9/1/2016 4:45,68,1,100
9/1/2016 5:0,48,1,100
9/1/2016 5:15,32,1,100
9/1/2016 5:30,44,1,100
9/1/2016 5:45,60,1,100
9/1/2016 6:0,108,1,100
9/1/2016 6:15,132,1,100
9/1/2016 6:30,52,1,100
9/1/2016 6:45,84,1,100
9/1/2016 7:0,116,1,100
9/1/2016 7:15,108,1,100
9/1/2016 7:30,148,1,100
9/1/2016 7:45,244,1,100
9/1/2016 8:0,236,1,100
9/1/2016 8:15,196,1,100
9/1/2016 8:30,164,1,100
9/1/2016 8:45,148,1,100
9/1/2016 9:0,336,1,100
9/1/2016 9:15,252,1,100
9/1/2016 9:30,280,1,100
9/1/2016 9:45,320,1,100
9/1/2016 10:0,364,1,100
9/1/2016 10:15,444,1,100
9/1/2016 10:30,344,1,100
9/1/2016 10:45,416,1,100
9/1/2016 11:0,452,1,100
9/1/2016 11:15,368,1,100
9/1/2016 11:30,480,1,100
9/1/2016 11:45,476,1,100
9/1/2016 12:0,608,1,100
9/1/2016 12:15,540,1,100
